scor	metoda	cale	titlu_local	->	titlu_youtube	id
0.80	fuzzy	3lar/2013	10 - A Gallowwalking Family Hangover	->	3lr - A Gallowwalking Family Hangover	eL99X-OofA8
0.80	fuzzy	3lar/2013	30 - Ass Bounty Killer Live	->	3lr - Ass Bounty Killer Live	Zi0Z8dOsV1U
0.80	fuzzy	3lar/2014	04 - A Haunted Maleficent Brick	->	3lr - A Haunted Maleficent Brick	9skrjNTwBZI
0.80	fuzzy	3lar/2014	06 - Welcome to Tammys Zombeavers	->	3lr - Welcome to Tammys Zombeavers	rs4blSQm-8I
0.80	fuzzy	3lar/2014	09 - The Maze Den Boxtrolls	->	3lr - The Maze Den Boxtrolls	3yOLumVHakY
0.80	fuzzy	3lar/2014	12 - Lucy, The Angriest Squatter	->	3lr - Lucy, The Angriest Squatter	TCFyO1Fg3QE
0.80	fuzzy	3lar/2014	14 - So Cold Above Jessabelle!	->	3lr - So Cold Above Jessabelle!	ymW0IPDrxTY
0.80	fuzzy	3lar/2014	16 - The Lost Interstellar Snowpiercer!	->	3lr -- The Lost Interstellar Snowpiercer!	vnEfGPbtxv4
0.80	fuzzy	3lar/2019	02 - The Prodigys Arctic BrightBurn	->	3LAR - The Prodigys Arctic BrightBurn	XOdy4PWqbc0
0.80	fuzzy	3lar/2019	15 - The Addams Gemini Spy	->	3LAR - The Addams Gemini Spy	mYh5vI7HZOo
0.80	fuzzy	CODIN&RAMO/Conferinte	Codin Pop - Conferința Anului Viitor 2014	->	Codin - Conferinta Anului Viitor	LKiFZA-m1_U
0.80	fuzzy	CODIN&RAMO/PUNCT	05 - Secretul din Masina + Test si Testimoniale	->	PUNCT #5 - Secretul din Masina + Test si Testimoniale	9o4Kr8Ckbpw
0.80	fuzzy	CODIN&RAMO/RAID	RAID 01	->	IOBAGGLIVE - RAID 01	FIvhzd4Ghxo
0.80	fuzzy	CODIN&RAMO/RAID	RAID 02	->	IOBAGGLIVE - RAID 02	MWXt4Ih2WZg
0.80	fuzzy	CSP/ZOOT SUIT	05 - CSP - PIREU	->	CSP - PIREU	LQ8VOMKyhHM
0.80	fuzzy	CSP/ZOOT SUIT	06 - IOBAGG - LENE	->	IOBAGG - LENE	HfwJfQTsCxs
0.80	fuzzy	CSP/ZOOT SUIT	08 - CSP - CHIAREL	->	CSP - CHIAREL	er2mGpfdOoM
0.80	fuzzy	CSP/ZOOT SUIT	09 - IOBAGG - BLESTEM	->	IOBAGG - BLESTEM	2SyH3FA2b0k
0.80	fuzzy	CSP/ZOOT SUIT	10 - CSP - AFUMATOAREA	->	CSP - AFUMATOAREA	-od4u9SoYKU
0.80	fuzzy	CSP/ZOOT SUIT	11 - CSP - GENERATII	->	CSP - GENERATII	NhU2xlaly6Q
0.80	fuzzy	CSP/ZOOT SUIT	12 - CSP - STRAZI	->	CSP - STRAZI	7dyDa_XJxAc
0.80	fuzzy	NinjaRamo/RFX	03 - Halloween Bonus Clip - Camasa	->	RFX Halloween Bonus Clip - Camasa	YI4Wt5B5eN4
0.80	fuzzy	NinjaRamo/RFX	04 - Halloween Bonus Clip - Palarioara	->	RFX Halloween Bonus Clip - Palarioara	8n6mnE-phSM
0.80	fuzzy	NinjaRamo/RFX	05 - Halloween Bonus Clip - Manusi	->	RFX Halloween Bonus Clip - Manusi	sdmWMWn8Ufk
0.80	fuzzy	NinjaRamo/RFX	05 - Halloween Bonus Clip - Unghii	->	RFX Halloween Bonus Clip - Unghii	XNUVKVMtIcA
0.80	fuzzy	NinjaRamo/RFX	07 - Halloween： Contesa (Ne)Moarta	->	RFX - Halloween: Contesa (Ne)Moarta	Dyd8lGn67ZM
0.80	fuzzy	NinjaRamo/RFX	08 - Halloween： The Little Devil	->	RFX - Halloween: The Little Devil	8V-Trzv6Ojg
0.80	fuzzy	NinjaRamo/RFX	09 - In Fruntea lui IOBAG	->	RFX - In Fruntea lui IOBAG	clCzCfio0GU
0.80	fuzzy	PIRAMIDA	04 - Apa nu va moare	->	Piramida - Apa nu va moare	F5SHIyYUKEs
0.80	fuzzy	PIRAMIDA	05 - Gheata bate vantu tata	->	Piramida - Gheata bate vantu tata	9TnNTPMuLFc
0.80	fuzzy	RENDAM	[RO] Aspir	->	Rendam [RO] - Aspir	-K22t_wDNkA
0.80	fuzzy	RENDAM	[RO] Baiazid	->	Rendam [RO] - Baiazid	F07p3SEkOD0
0.80	fuzzy	RENDAM	[RO] Cinci	->	Rendam [RO] - Cinci	uxNWVMux8a4
0.80	fuzzy	RENDAM	[RO] LMA	->	Rendam [RO] - LMA	3QLBZOg6hc0
0.80	fuzzy	RENDAM	[RO] Omoara	->	Rendam [RO] - Omoara	sCK7qpftibg
0.80	fuzzy	RENDAM	[RO] Para	->	Rendam [RO] - Para	Dx5ZVDTvbXg
0.80	fuzzy	RENDAM	[RO] Poate	->	Rendam [RO] - Poate	Vw3_LElFtzw
0.80	fuzzy	RENDAM	[RO] Ras	->	Rendam [RO] - Ras	hUHEY6MbnCE
0.83	fuzzy	3lar/2013	04 - Dead Knights of Mimesis Badassdom	->	3lr - Dead Knights of Mimesis Badassdom	wo4CT70U59U
0.83	fuzzy	3lar/2013	05 - The Furious Lords of Blackhats	->	3lr - The Furious Lords of Blackhats	arGDckaAA1A
